chromosome	Start position (hg19)	End position (hg19)	Region descriptor	Sample	Nucleosome peak position (hg19)	Distance from start (bp)	Distance from end (bp)	Within or Flanking?	WPS (mean = 1)	Read depth (mean = 1)
chr11	1525652	1526652	1	BRA01	1526586	934	-66	within	0.74	0.27
chr11	1525652	1526652	1	BRA01	1526823	1171	171	3' flanking	0.96	0.25
chr12	1525652	1526652	1	BRA01	1525522	-130	-1130	5' flanking	'n/a'	0.49
chr12	1525652	1526652	1	BRA01	1525756	104	-896	within	0.85	0.44
chr12	1525652	1526652	1	BRA01	1525939	287	-713	within	0.85	0.44
chr12	1525652	1526652	1	BRA01	1526058	406	-594	within	0.96	0.39
chr12	1525652	1526652	1	BRA01	1526324	672	-328	within	'n/a'	0.35
chr12	1525652	1526652	1	BRA01	1526591	939	-61	within	0.53	0.22
chr12	1525652	1526652	1	BRA01	1526760	1108	108	3' flanking	0.53	0.3
chr16	1525652	1526652	1	BRA01	1525558	-94	-1094	5' flanking	0.64	0.16
chr16	1525652	1526652	1	BRA01	1525713	61	-939	within	1.17	0.24
chr16	1525652	1526652	1	BRA01	1525886	234	-766	within	1.06	0.21
chr16	1525652	1526652	1	BRA01	1526073	421	-579	within	1.17	0.32
chr16	1525652	1526652	1	BRA01	1526279	627	-373	within	1.49	0.32
chr16	1525652	1526652	1	BRA01	1526510	858	-142	within	'n/a'	0.27
chr16	1525652	1526652	1	BRA01	1526741	1089	89	3' flanking	'n/a'	0.24
chr17	1525652	1526652	1	BRA01	1525534	-118	-1118	5' flanking	0.96	0.32
chr17	1525652	1526652	1	BRA01	1525759	107	-893	within	'n/a'	0.3
chr17	1525652	1526652	1	BRA01	1525984	332	-668	within	'n/a'	0.4
chr17	1525652	1526652	1	BRA01	1526209	557	-443	within	0.96	0.2
chr17	1525652	1526652	1	BRA01	1526378	726	-274	within	1.38	0.21
chr17	1525652	1526652	1	BRA01	1526600	948	-52	within	0.64	0.26
chr17	1525652	1526652	1	BRA01	1526868	1216	216	3' flanking	0.74	0.17
chr18	1525652	1526652	1	BRA01	1525606	-46	-1046	5' flanking	0.64	0.28
chr18	1525652	1526652	1	BRA01	1525725	73	-927	within	0.53	0.23
chr18	1525652	1526652	1	BRA01	1525881	229	-771	within	0.96	0.25
chr18	1525652	1526652	1	BRA01	1526154	502	-498	within	'n/a'	0.3
chr18	1525652	1526652	1	BRA01	1526428	776	-224	within	0.53	0.27
chr18	1525652	1526652	1	BRA01	1526606	954	-46	within	0.85	0.25
chr18	1525652	1526652	1	BRA01	1526799	1147	147	3' flanking	'n/a'	0.21
chr19	1525652	1526652	1	BRA01	1525483	-169	-1169	5' flanking	0.64	0.25
chr19	1525652	1526652	1	BRA01	1525654	2	-998	within	1.17	0.24
chr19	1525652	1526652	1	BRA01	1525949	297	-703	within	0.96	0.26
chr19	1525652	1526652	1	BRA01	1526246	594	-406	within	0.64	0.17
chr19	1525652	1526652	1	BRA01	1526483	831	-169	within	1.28	0.2
chr19	1525652	1526652	1	BRA01	1526684	1032	32	3' flanking	'n/a'	0.22
chr20	1525652	1526652	1	BRA01	1525487	-165	-1165	5' flanking	1.17	0.4
chr20	1525652	1526652	1	BRA01	1525698	46	-954	within	'n/a'	0.3
chr20	1525652	1526652	1	BRA01	1525909	257	-743	within	'n/a'	0.4
chr20	1525652	1526652	1	BRA01	1526120	468	-532	within	0.85	0.36
chr20	1525652	1526652	1	BRA01	1526332	680	-320	within	0.85	0.35
chr20	1525652	1526652	1	BRA01	1526580	928	-72	within	'n/a'	0.23
chr20	1525652	1526652	1	BRA01	1526828	1176	176	3' flanking	0.64	0.3
chrX	1525652	1526652	1	BRA01	1525518	-134	-1134	5' flanking	'n/a'	0.13
chrX	1525652	1526652	1	BRA01	1525703	51	-949	within	'n/a'	0.07
chrX	1525652	1526652	1	BRA01	1525888	236	-764	within	'n/a'	0.12
chrX	1525652	1526652	1	BRA01	1526073	421	-579	within	'n/a'	0.13
chrX	1525652	1526652	1	BRA01	1526258	606	-394	within	'n/a'	0.09
chrX	1525652	1526652	1	BRA01	1526443	791	-209	within	'n/a'	0.03
chrX	1525652	1526652	1	BRA01	1526628	976	-24	within	'n/a'	0.01
chrX	1525652	1526652	1	BRA01	1526813	1161	161	3' flanking	'n/a'	0.04
chrY	1525652	1526652	1	BRA01	1525640	-12	-1012	5' flanking	'n/a'	0.07
chrY	1525652	1526652	1	BRA01	1525825	173	-827	within	'n/a'	0.02
chrY	1525652	1526652	1	BRA01	1526010	358	-642	within	'n/a'	0.01
chrY	1525652	1526652	1	BRA01	1526195	543	-457	within	'n/a'	0.06
chrY	1525652	1526652	1	BRA01	1526380	728	-272	within	'n/a'	0.05
chrY	1525652	1526652	1	BRA01	1526565	913	-87	within	'n/a'	0.03
chrY	1525652	1526652	1	BRA01	1526750	1098	98	3' flanking	'n/a'	0.01
